id_siniestro,nro_victimas,fecha,franja_hora,tipo_calle,comuna,longitud,latitud,vehiculo_victima,vehiculo_acusado,rol,sexo,edad,gravedad,year,month,quarter,semester,id_victima
2016-0001,1,2016-01-01,4,avenida,8,-58.47533969,-34.68757022,moto,auto,conductor,masculino,19,fatal,2016,1,1,1,1
2016-0002,1,2016-01-02,1,gral paz,9,-58.50877521,-34.66977709,auto,pasajeros,conductor,masculino,70,fatal,2016,1,1,1,1
2016-0003,1,2016-01-03,7,avenida,1,-58.39040293,-34.63189362,moto,auto,conductor,masculino,30,fatal,2016,1,1,1,1
2016-0004,1,2016-01-10,0,avenida,8,-58.46503904,-34.68092974,moto,,conductor,masculino,18,fatal,2016,1,1,1,1
2016-0005,1,2016-01-21,5,avenida,1,-58.38718297,-34.6224663,moto,pasajeros,conductor,masculino,29,fatal,2016,1,1,1,1
2016-0008,1,2016-01-24,18,avenida,8,-58.44451316,-34.68475866,moto,objeto fijo,conductor,masculino,30,fatal,2016,1,1,1,1
2016-0009,1,2016-01-24,19,calle,11,-58.50095869,-34.6082544,moto,auto,pasajero_acompañante,masculino,29,fatal,2016,1,1,1,1
2016-0010,1,2016-01-29,15,gral paz,9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,18,fatal,2016,1,1,1,1
2016-0012,1,2016-02-08,1,avenida,1,-58.38048577,-34.61303893,moto,cargas,conductor,masculino,22,fatal,2016,2,1,1,1
2016-0013,1,2016-02-10,11,avenida,1,-58.39114932,-34.62477387,peaton,auto,peaton,masculino,16,fatal,2016,2,1,1,1
2016-0015,1,2016-02-14,5,avenida,15,-58.4376002,-34.59912758,peaton,auto,peaton,femenino,16,fatal,2016,2,1,1,1
2016-0016,1,2016-02-14,22,avenida,4,-58.36882665,-34.64291993,moto,auto,pasajero_acompañante,femenino,19,fatal,2016,2,1,1,1
2016-0017,1,2016-02-15,16,avenida,8,-58.44989671,-34.65970435,peaton,moto,peaton,masculino,59,fatal,2016,2,1,1,1
2016-0019,1,2016-02-17,9,calle,9,-58.50990884,-34.65468721,peaton,pasajeros,peaton,femenino,65,fatal,2016,2,1,1,1
2016-0020,1,2016-02-17,16,calle,1,-58.37952223,-34.60653282,peaton,auto,peaton,masculino,59,fatal,2016,2,1,1,1
2016-0021,1,2016-02-17,23,avenida,7,-58.45157703,-34.63063795,auto,auto,conductor,masculino,34,fatal,2016,2,1,1,1
2016-0022,1,2016-02-21,6,avenida,1,-58.38144696,-34.61079875,moto,auto,pasajero_acompañante,masculino,41,fatal,2016,2,1,1,1
2016-0025,1,2016-02-28,4,gral paz,8,-58.46244952,-34.70524971,auto,auto,pasajero_acompañante,masculino,34,fatal,2016,2,1,1,1
2016-0026,1,2016-02-28,7,calle,12,-58.49216191,-34.54738649,auto,objeto fijo,conductor,masculino,30,fatal,2016,2,1,1,1
2016-0027,1,2016-02-28,9,avenida,7,-58.44497874,-34.63852623,auto,auto,pasajero_acompañante,masculino,34,fatal,2016,2,1,1,1
2016-0028,1,2016-03-02,10,avenida,1,-58.38199706,-34.60028648,peaton,cargas,peaton,masculino,50,fatal,2016,3,1,1,1
2016-0029,1,2016-03-04,17,avenida,12,-58.47378664,-34.54153077,peaton,pasajeros,peaton,masculino,38,fatal,2016,3,1,1,1
2016-0031,1,2016-03-08,12,gral paz,8,-58.47064556,-34.69843756,moto,pasajeros,conductor,masculino,21,fatal,2016,3,1,1,1
2016-0034,1,2016-03-12,12,avenida,4,-58.40623949,-34.65076549,peaton,pasajeros,peaton,masculino,52,fatal,2016,3,1,1,1
2016-0035,1,2016-03-13,6,avenida,3,-58.39228965,-34.60443527,moto,pasajeros,conductor,masculino,34,fatal,2016,3,1,1,1
2016-0036,1,2016-03-14,0,calle,4,-58.37813396,-34.63668504,moto,pasajeros,pasajero_acompañante,masculino,36,fatal,2016,3,1,1,1
2016-0037,1,2016-03-19,11,avenida,7,-58.46275892,-34.64358293,moto,moto,conductor,masculino,20,fatal,2016,3,1,1,1
2016-0038,1,2016-03-21,8,gral paz,8,-58.49683458,-34.67892743,peaton,pasajeros,peaton,masculino,29,fatal,2016,3,1,1,1
2016-0039,1,2016-03-23,1,avenida,3,-58.40603217,-34.6088396,moto,pasajeros,conductor,masculino,20,fatal,2016,3,1,1,1
2016-0041,2,2016-03-29,11,avenida,7,-58.4607655,-34.63350444,moto,cargas,conductor,masculino,54,fatal,2016,3,1,1,1
2016-0041,2,2016-03-29,11,avenida,7,-58.4607655,-34.63350444,moto,cargas,pasajero_acompañante,masculino,,fatal,2016,3,1,1,2
2016-0043,1,2016-03-30,18,avenida,8,-58.47832463,-34.67494416,peaton,cargas,peaton,femenino,56,fatal,2016,3,1,1,1
2016-0044,1,2016-03-31,19,avenida,7,-58.43213235,-34.63693953,moto,multiple,conductor,masculino,24,fatal,2016,3,1,1,1
2016-0045,1,2016-04-11,10,gral paz,13,-58.46743471,-34.53476874,moto,,conductor,masculino,,fatal,2016,4,2,1,1
2016-0047,1,2016-04-15,5,calle,1,-58.38247061,-34.62571878,peaton,pasajeros,peaton,masculino,41,fatal,2016,4,2,1,1
2016-0048,1,2016-04-15,17,avenida,15,-58.44759966,-34.5917024,peaton,pasajeros,peaton,femenino,,fatal,2016,4,2,1,1
2016-0049,1,2016-04-17,0,autopista,4,-58.37714647568196,-34.63657525428238,,,,,,fatal,2016,4,2,1,1
2016-0050,1,2016-04-19,9,avenida,8,-58.47305463,-34.68550712,peaton,pasajeros,peaton,masculino,78,fatal,2016,4,2,1,1
2016-0051,1,2016-04-20,4,avenida,4,-58.40623949,-34.65076549,moto,cargas,conductor,masculino,36,fatal,2016,4,2,1,1
2016-0052,1,2016-04-20,20,autopista,13,-58.45757936,-34.53895793,moto,,,,,fatal,2016,4,2,1,1
2016-0053,1,2016-04-22,9,avenida,12,-58.4842918,-34.57558053,peaton,pasajeros,peaton,masculino,38,fatal,2016,4,2,1,1
2016-0054,1,2016-04-23,21,autopista,8,-58.48695354,-34.68795245,moto,moto,conductor,masculino,30,fatal,2016,4,2,1,1
2016-0055,1,2016-04-25,20,avenida,14,-58.40021959,-34.57964781,peaton,cargas,peaton,masculino,79,fatal,2016,4,2,1,1
2016-0056,1,2016-04-26,4,avenida,14,-58.42957885,-34.57660058,moto,objeto fijo,conductor,masculino,26,fatal,2016,4,2,1,1
2016-0058,1,2016-05-04,14,calle,1,-58.38247542,-34.62556293,peaton,moto,peaton,femenino,57,fatal,2016,5,2,1,1
2016-0059,1,2016-05-08,16,calle,1,-58.38222219,-34.62728101,peaton,pasajeros,peaton,masculino,37,fatal,2016,5,2,1,1
2016-0064,1,2016-05-14,18,avenida,10,-58.49485242,-34.62953445,peaton,pasajeros,peaton,masculino,20,fatal,2016,5,2,1,1
2016-0065,1,2016-05-20,14,avenida,6,-58.45227946,-34.61068024,peaton,auto,peaton,masculino,20,fatal,2016,5,2,1,1
2016-0067,1,2016-05-21,17,avenida,8,-58.48455411,-34.6751276,moto,pasajeros,pasajero_acompañante,femenino,30,fatal,2016,5,2,1,1
2016-0068,1,2016-05-22,22,avenida,2,-58.39056593,-34.58418569,moto,pasajeros,conductor,masculino,58,fatal,2016,5,2,1,1
2016-0069,1,2016-05-23,3,avenida,3,-58.39118948,-34.62704273,auto,cargas,conductor,masculino,30,fatal,2016,5,2,1,1
2016-0073,1,2016-06-11,15,calle,10,-58.49021952,-34.62025108,moto,cargas,conductor,masculino,23,fatal,2016,6,2,1,1
2016-0074,1,2016-06-12,6,gral paz,8,-58.49896559,-34.67732118,auto,auto,conductor,masculino,60,fatal,2016,6,2,1,1
2016-0075,1,2016-06-12,23,autopista,8,-58.47461076,-34.66874679,peaton,auto,peaton,masculino,42,fatal,2016,6,2,1,1
2016-0076,1,2016-06-13,16,avenida,15,-58.46210891,-34.60356211,peaton,pasajeros,peaton,femenino,53,fatal,2016,6,2,1,1
2016-0077,1,2016-06-13,21,avenida,1,-58.3702777,-34.60536123,peaton,pasajeros,peaton,femenino,,fatal,2016,6,2,1,1
2016-0078,1,2016-06-13,23,avenida,3,-58.40491455,-34.6146383,moto,moto,conductor,masculino,30,fatal,2016,6,2,1,1
2016-0079,1,2016-06-16,17,avenida,13,-58.45504154,-34.54864492,auto,auto,conductor,femenino,51,fatal,2016,6,2,1,1
2016-0080,1,2016-06-18,6,gral paz,9,-58.52927982,-34.63931752,auto,,conductor,masculino,60,fatal,2016,6,2,1,1
2016-0081,1,2016-06-22,7,avenida,12,-58.4872106,-34.55904606,moto,auto,conductor,masculino,40,fatal,2016,6,2,1,1
2016-0082,1,2016-06-27,18,avenida,4,-58.42273092,-34.64228803,peaton,auto,peaton,masculino,87,fatal,2016,6,2,1,1
2016-0083,1,2016-06-28,20,avenida,6,-58.44788671,-34.62539009,peaton,moto,peaton,femenino,76,fatal,2016,6,2,1,1
2016-0084,1,2016-06-29,22,calle,1,-58.38110563,-34.60135531,peaton,pasajeros,peaton,masculino,57,fatal,2016,6,2,1,1
2016-0085,1,2016-06-29,22,avenida,4,-58.42378834,-34.657341,moto,otro,,masculino,,fatal,2016,6,2,1,1
2016-0086,1,2016-06-30,16,avenida,10,-58.48727942,-34.63652467,peaton,pasajeros,peaton,masculino,75,fatal,2016,6,2,1,1
2016-0087,1,2016-07-02,0,autopista,1,-58.37864583,-34.62907067,moto,objeto fijo,conductor,masculino,23,fatal,2016,7,3,2,1
2016-0088,1,2016-07-11,15,calle,12,-58.5015175,-34.56767549,peaton,auto,peaton,femenino,70,fatal,2016,7,3,2,1
2016-0089,1,2016-07-14,6,autopista,13,-58.43233425,-34.55185825,peaton,auto,peaton,masculino,35,fatal,2016,7,3,2,1
2016-0090,1,2016-07-14,22,avenida,5,-58.41971993,-34.6111224,peaton,pasajeros,peaton,masculino,60,fatal,2016,7,3,2,1
2016-0092,1,2016-07-15,11,gral paz,13,-58.46743471,-34.53476874,moto,cargas,conductor,masculino,24,fatal,2016,7,3,2,1
2016-0093,1,2016-07-17,3,avenida,6,-58.44362126,-34.62301748,auto,auto,conductor,masculino,35,fatal,2016,7,3,2,1
2016-0095,1,2016-07-23,6,avenida,11,-58.51713095,-34.59546519,moto,auto,conductor,masculino,29,fatal,2016,7,3,2,1
2016-0096,1,2016-07-25,7,autopista,8,-58.47433193007387,-34.66684950051973,moto,cargas,conductor,masculino,,fatal,2016,7,3,2,1
2016-0097,1,2016-07-26,18,calle,1,-58.39038605,-34.6156281,peaton,auto,peaton,masculino,80,fatal,2016,7,3,2,1
2016-0098,1,2016-07-27,16,avenida,3,-58.40042405,-34.62356174,moto,cargas,conductor,femenino,43,fatal,2016,7,3,2,1
2016-0099,1,2016-07-29,16,gral paz,11,-58.52340614,-34.59798754,cargas,cargas,conductor,masculino,45,fatal,2016,7,3,2,1
2016-0100,1,2016-08-03,23,gral paz,12,-58.49491054,-34.54795581,moto,objeto fijo,conductor,masculino,57,fatal,2016,8,3,2,1
2016-0101,1,2016-08-07,19,gral paz,9,-58.52932872,-34.65014993,,,,masculino,67,fatal,2016,8,3,2,1
2016-0102,1,2016-08-10,23,avenida,9,-58.50011639,-34.67316502,moto,cargas,conductor,masculino,29,fatal,2016,8,3,2,1
2016-0104,1,2016-08-14,21,avenida,9,-58.46635001,-34.65624369,moto,pasajeros,conductor,masculino,21,fatal,2016,8,3,2,1
2016-0105,1,2016-08-17,0,avenida,15,-58.45343236,-34.58435809,peaton,pasajeros,peaton,masculino,19,fatal,2016,8,3,2,1
2016-0106,1,2016-08-19,21,avenida,1,-58.38090932,-34.58927731,peaton,pasajeros,peaton,masculino,38,fatal,2016,8,3,2,1
2016-0107,1,2016-08-20,8,autopista,4,-58.37157668,-34.65429986,moto,auto,conductor,masculino,21,fatal,2016,8,3,2,1
2016-0109,1,2016-08-24,5,autopista,9,-58.52280139,-34.63659934,auto,objeto fijo,conductor,femenino,53,fatal,2016,8,3,2,1
2016-0110,1,2016-08-24,20,avenida,9,-58.51232237,-34.6590353,peaton,,peaton,masculino,57,fatal,2016,8,3,2,1
2016-0111,1,2016-08-25,9,autopista,15,-58.47461905,-34.57663634,moto,cargas,conductor,masculino,27,fatal,2016,8,3,2,1
2016-0112,1,2016-08-27,4,autopista,1,-58.38268809,-34.62282019,moto,objeto fijo,conductor,masculino,24,fatal,2016,8,3,2,1
2016-0113,1,2016-08-27,16,avenida,9,-58.49603546,-34.64564271,peaton,pasajeros,peaton,femenino,60,fatal,2016,8,3,2,1
2016-0114,1,2016-08-31,11,calle,14,-58.41848605,-34.59394733,bicicleta,cargas,ciclista,femenino,55,fatal,2016,8,3,2,1
2016-0115,1,2016-09-02,11,calle,12,-58.48935041,-34.54917673,,cargas,,masculino,,fatal,2016,9,3,2,1
2016-0116,1,2016-09-02,20,avenida,8,-58.44451316,-34.68475866,moto,auto,conductor,masculino,30,fatal,2016,9,3,2,1
2016-0117,1,2016-09-03,15,avenida,14,-58.39936478,-34.58271474,auto,auto,conductor,masculino,43,fatal,2016,9,3,2,1
2016-0118,1,2016-09-04,3,autopista,1,-58.37936704,-34.62694503,auto,auto,conductor,masculino,27,fatal,2016,9,3,2,1
2016-0119,1,2016-09-04,6,avenida,12,-58.49659234,-34.56353635,,,pasajero_acompañante,femenino,,fatal,2016,9,3,2,1
2016-0122,1,2016-09-13,7,avenida,9,-58.47256391,-34.65194557,bicicleta,pasajeros,ciclista,masculino,49,fatal,2016,9,3,2,1
2016-0123,1,2016-09-14,9,avenida,7,-58.45130953,-34.64053676,moto,auto,conductor,femenino,58,fatal,2016,9,3,2,1
2016-0124,1,2016-09-16,15,avenida,7,-58.46271207,-34.62884871,peaton,pasajeros,peaton,masculino,67,fatal,2016,9,3,2,1
2016-0125,1,2016-09-17,12,autopista,10,-58.49020869,-34.64243791,moto,moto,conductor,masculino,30,fatal,2016,9,3,2,1
2016-0126,2,2016-09-18,22,calle,10,-58.52572109,-34.62125906,auto,cargas,conductor,masculino,37,fatal,2016,9,3,2,1
2016-0126,2,2016-09-18,22,calle,10,-58.52572109,-34.62125906,auto,cargas,pasajero_acompañante,masculino,60,fatal,2016,9,3,2,2
2016-0127,1,2016-09-24,10,avenida,8,-58.44094791,-34.66677111,peaton,pasajeros,peaton,masculino,50,fatal,2016,9,3,2,1
2016-0128,1,2016-10-02,11,avenida,5,-58.41914024,-34.6305389,peaton,pasajeros,peaton,femenino,81,fatal,2016,10,4,2,1
2016-0130,1,2016-10-04,12,autopista,1,-58.37910942,-34.62764717,moto,cargas,conductor,masculino,29,fatal,2016,10,4,2,1
2016-0131,1,2016-10-09,19,calle,4,-58.39871183,-34.64539318,peaton,auto,peaton,masculino,35,fatal,2016,10,4,2,1
2016-0132,1,2016-10-10,2,avenida,3,-58.41036975,-34.62477021,auto,pasajeros,pasajero_acompañante,masculino,30,fatal,2016,10,4,2,1
2016-0133,1,2016-10-14,0,avenida,14,-58.40204698,-34.5834269,moto,auto,conductor,masculino,41,fatal,2016,10,4,2,1
2016-0134,1,2016-10-23,5,avenida,8,-58.48935287,-34.67648597,moto,objeto fijo,conductor,masculino,25,fatal,2016,10,4,2,1
2016-0135,1,2016-10-24,5,avenida,14,-58.42260225,-34.56403694,peaton,,peaton,masculino,29,fatal,2016,10,4,2,1
2016-0136,1,2016-10-25,0,autopista,4,-58.36340155,-34.6243712,moto,cargas,conductor,,,fatal,2016,10,4,2,1
2016-0137,1,2016-10-25,0,avenida,11,-58.51537091,-34.59035925,moto,moto,conductor,masculino,30,fatal,2016,10,4,2,1
2016-0138,1,2016-10-27,20,avenida,13,-58.4590967,-34.55922742,bicicleta,cargas,ciclista,femenino,33,fatal,2016,10,4,2,1
2016-0139,1,2016-10-28,23,avenida,14,-58.42008769,-34.56539579,moto,moto,pasajero_acompañante,femenino,35,fatal,2016,10,4,2,1
2016-0140,1,2016-10-31,2,avenida,13,-58.45566399,-34.56147293,pasajeros,pasajeros,pasajero_acompañante,masculino,20,fatal,2016,10,4,2,1
2016-0142,1,2016-11-05,23,avenida,1,-58.37533517,-34.59276462,moto,pasajeros,conductor,masculino,46,fatal,2016,11,4,2,1
2016-0143,1,2016-11-06,4,avenida,8,-58.44451316,-34.68475866,moto,,conductor,masculino,35,fatal,2016,11,4,2,1
2016-0144,1,2016-11-07,12,avenida,4,-58.35975012,-34.63343907,peaton,pasajeros,peaton,masculino,83,fatal,2016,11,4,2,1
2016-0145,1,2016-11-07,20,avenida,13,-58.44523595,-34.55953855,moto,auto,conductor,masculino,39,fatal,2016,11,4,2,1
2016-0146,1,2016-11-09,20,avenida,4,-58.39626094,-34.63036565,peaton,pasajeros,peaton,femenino,29,fatal,2016,11,4,2,1
2016-0147,1,2016-11-16,21,avenida,1,-58.38896772,-34.61799615,movil,pasajeros,pasajero_acompañante,masculino,55,fatal,2016,11,4,2,1
2016-0148,1,2016-11-16,22,avenida,15,-58.46536113,-34.59484504,moto,moto,conductor,masculino,,fatal,2016,11,4,2,1
2016-0150,1,2016-11-18,18,avenida,4,-58.40879146,-34.65273216,cargas,cargas,pasajero_acompañante,masculino,41,fatal,2016,11,4,2,1
2016-0151,1,2016-11-18,20,calle,10,-58.52756365,-34.62772274,peaton,,peaton,,,fatal,2016,11,4,2,1
2016-0152,1,2016-11-23,21,avenida,7,-58.46451841,-34.64991946,moto,auto,conductor,masculino,42,fatal,2016,11,4,2,1
2016-0153,1,2016-11-25,15,avenida,15,-58.4291709,-34.59485488,peaton,moto,peaton,femenino,83,fatal,2016,11,4,2,1
2016-0154,1,2016-11-26,14,gral paz,8,-58.49007772,-34.68251141,moto,moto,conductor,masculino,38,fatal,2016,11,4,2,1
2016-0155,1,2016-11-26,16,calle,10,-58.52756365,-34.62772274,peaton,auto,peaton,femenino,29,fatal,2016,11,4,2,1
2016-0156,1,2016-11-26,19,avenida,3,-58.40638983,-34.61943202,moto,pasajeros,conductor,masculino,23,fatal,2016,11,4,2,1
2016-0157,1,2016-12-03,6,avenida,11,-58.47576807,-34.61740997,moto,moto,conductor,masculino,23,fatal,2016,12,4,2,1
2016-0159,1,2016-12-04,7,avenida,8,-58.44451316,-34.68475866,auto,,conductor,masculino,23,fatal,2016,12,4,2,1
2016-0160,1,2016-12-06,5,autopista,9,-58.51927194,-34.63635787,cargas,objeto fijo,conductor,masculino,29,fatal,2016,12,4,2,1
2016-0161,1,2016-12-06,7,avenida,14,-58.42525456,-34.57866344,peaton,pasajeros,peaton,masculino,50,fatal,2016,12,4,2,1
2016-0162,1,2016-12-07,5,avenida,15,-58.45396573,-34.58518167,peaton,auto,peaton,masculino,38,fatal,2016,12,4,2,1
2016-0163,1,2016-12-10,7,gral paz,11,-58.52340614,-34.59798754,moto,auto,conductor,masculino,23,fatal,2016,12,4,2,1
2016-0164,1,2016-12-11,6,avenida,4,-58.42323628,-34.64119105,auto,auto,conductor,masculino,29,fatal,2016,12,4,2,1
2016-0165,1,2016-12-12,8,avenida,4,-58.36926144,-34.62841919,bicicleta,pasajeros,ciclista,masculino,37,fatal,2016,12,4,2,1
2016-0168,1,2016-12-13,10,avenida,4,-58.42323628,-34.64119105,moto,auto,conductor,masculino,43,fatal,2016,12,4,2,1
2016-0169,1,2016-12-15,15,avenida,12,-58.47935434,-34.55676497,moto,pasajeros,conductor,masculino,24,fatal,2016,12,4,2,1
2016-0170,1,2016-12-19,17,gral paz,12,-58.50598256,-34.5637998,moto,auto,pasajero_acompañante,masculino,21,fatal,2016,12,4,2,1
2016-0171,1,2016-12-25,19,autopista,1,-58.36607137,-34.62150748,moto,moto,conductor,,,fatal,2016,12,4,2,1
2016-0172,1,2016-12-26,8,avenida,5,-58.41918902,-34.63174259,moto,cargas,conductor,masculino,38,fatal,2016,12,4,2,1
2016-0173,1,2016-12-26,19,avenida,7,-58.46749188,-34.63551751,moto,cargas,conductor,masculino,35,fatal,2016,12,4,2,1
2016-0174,1,2016-12-27,0,autopista,7,-58.36952992,-34.62247256,,,,,,fatal,2016,12,4,2,1
2016-0175,1,2016-12-27,8,calle,7,-58.46064174,-34.62960517,peaton,bicicleta,peaton,femenino,,fatal,2016,12,4,2,1
2016-0176,1,2016-12-28,1,avenida,1,-58.36956186,-34.61232875,moto,pasajeros,conductor,masculino,28,fatal,2016,12,4,2,1
2016-0177,1,2016-12-29,4,calle,14,-58.40966671,-34.58788235,peaton,auto,peaton,femenino,27,fatal,2016,12,4,2,1
2016-0178,1,2016-12-30,16,calle,3,-58.40288226,-34.61544091,peaton,multiple,peaton,femenino,7,fatal,2016,12,4,2,1
2017-0001,1,2017-01-02,1,avenida,11,-58.4659423,-34.61028571,moto,cargas,conductor,masculino,18,fatal,2017,1,1,1,1
2017-0003,1,2017-01-05,3,avenida,4,-58.38957669,-34.64410277,cargas,cargas,pasajero_acompañante,masculino,33,fatal,2017,1,1,1,1
2017-0007,1,2017-01-11,17,calle,1,-58.3816166,-34.61529543,peaton,multiple,peaton,masculino,48,fatal,2017,1,1,1,1
2017-0008,1,2017-01-16,0,calle,14,-58.43917004,-34.58494351,moto,pasajeros,conductor,masculino,29,fatal,2017,1,1,1,1
2017-0009,1,2017-01-16,13,autopista,5,-58.41595919,-34.62743346,moto,cargas,conductor,masculino,36,fatal,2017,1,1,1,1
2017-0010,1,2017-01-16,16,avenida,6,-58.4356488,-34.62828656,moto,auto,conductor,masculino,23,fatal,2017,1,1,1,1
2017-0011,1,2017-01-22,2,gral paz,12,-58.5007381,-34.5497951,moto,objeto fijo,pasajero_acompañante,femenino,29,fatal,2017,1,1,1,1
2017-0012,1,2017-01-24,14,calle,4,-58.40969005,-34.6505529,moto,cargas,conductor,masculino,30,fatal,2017,1,1,1,1
2017-0013,1,2017-01-27,7,avenida,4,-58.38972622,-34.65098981,peaton,cargas,peaton,masculino,4,fatal,2017,1,1,1,1
2017-0014,1,2017-01-28,8,avenida,12,-58.49185972,-34.55046754,moto,multiple,pasajero_acompañante,femenino,22,fatal,2017,1,1,1,1
2017-0015,1,2017-02-02,15,avenida,2,-58.39293417,-34.59963642,peaton,auto,peaton,masculino,82,fatal,2017,2,1,1,1
2017-0016,1,2017-02-03,5,autopista,1,-58.38099494,-34.62288231,moto,cargas,conductor,masculino,27,fatal,2017,2,1,1,1
2017-0017,1,2017-02-06,8,avenida,14,-58.429012,-34.58095431,moto,auto,conductor,masculino,32,fatal,2017,2,1,1,1
2017-0018,1,2017-02-09,7,gral paz,9,-58.50877521,-34.66977709,moto,auto,conductor,masculino,30,fatal,2017,2,1,1,1
2017-0021,1,2017-02-18,5,calle,1,-58.38362373,-34.60509972,moto,pasajeros,conductor,masculino,43,fatal,2017,2,1,1,1
2017-0024,1,2017-02-23,20,avenida,7,-58.46589308,-34.62955795,peaton,pasajeros,peaton,masculino,39,fatal,2017,2,1,1,1
2017-0025,1,2017-02-24,17,avenida,7,-58.43614426,-34.6542464,moto,,conductor,masculino,23,fatal,2017,2,1,1,1
2017-0026,2,2017-02-26,5,avenida,4,-58.41842777,-34.64979057,auto,objeto fijo,pasajero_acompañante,femenino,23,fatal,2017,2,1,1,1
2017-0026,2,2017-02-26,5,avenida,4,-58.41842777,-34.64979057,auto,objeto fijo,conductor,masculino,19,fatal,2017,2,1,1,2
2017-0027,1,2017-02-26,21,avenida,1,-58.38332245,-34.6319325,peaton,auto,peaton,masculino,,fatal,2017,2,1,1,1
2017-0028,1,2017-02-28,9,avenida,6,-58.45475488,-34.61196327,peaton,auto,peaton,masculino,87,fatal,2017,2,1,1,1
2017-0029,1,2017-03-07,2,calle,9,-58.48501341,-34.64742455,,auto,,masculino,34,fatal,2017,3,1,1,1
2017-0030,1,2017-03-07,8,avenida,9,-58.47010988,-34.65872088,auto,pasajeros,conductor,femenino,27,fatal,2017,3,1,1,1
2017-0031,1,2017-03-11,1,calle,3,-58.4099756,-34.62873635,auto,objeto fijo,pasajero_acompañante,masculino,70,fatal,2017,3,1,1,1
2017-0032,1,2017-03-12,5,gral paz,8,-58.48892175,-34.68359163,auto,auto,pasajero_acompañante,femenino,40,fatal,2017,3,1,1,1
2017-0033,1,2017-03-12,7,gral paz,11,-58.52466448,-34.60325478,auto,auto,conductor,masculino,28,fatal,2017,3,1,1,1
2017-0034,1,2017-03-13,7,calle,14,-58.42554218,-34.57929036,peaton,auto,peaton,masculino,43,fatal,2017,3,1,1,1
2017-0035,3,2017-03-23,5,avenida,1,-58.35881506,-34.61113641,auto,objeto fijo,conductor,masculino,28,fatal,2017,3,1,1,1
2017-0035,3,2017-03-23,5,avenida,1,-58.35881506,-34.61113641,auto,objeto fijo,pasajero_acompañante,masculino,32,fatal,2017,3,1,1,2
2017-0035,3,2017-03-23,5,avenida,1,-58.35881506,-34.61113641,auto,objeto fijo,pasajero_acompañante,masculino,30,fatal,2017,3,1,1,3
2017-0036,2,2017-03-29,18,gral paz,12,-58.51452347,-34.58159762,moto,pasajeros,pasajero_acompañante,femenino,,fatal,2017,3,1,1,1
2017-0036,2,2017-03-29,18,gral paz,12,-58.51452347,-34.58159762,moto,pasajeros,conductor,masculino,20,fatal,2017,3,1,1,2
2017-0037,1,2017-03-31,3,avenida,1,-58.38896772,-34.61799615,moto,cargas,conductor,masculino,41,fatal,2017,3,1,1,1
2017-0038,1,2017-04-01,19,avenida,7,-58.44516857,-34.64363363,moto,auto,conductor,femenino,40,fatal,2017,4,2,1,1
2017-0040,1,2017-04-03,9,avenida,13,-58.43834197,-34.54560369,auto,multiple,conductor,masculino,43,fatal,2017,4,2,1,1
2017-0041,1,2017-04-03,23,calle,7,-58.45485084,-34.63531854,moto,auto,conductor,masculino,17,fatal,2017,4,2,1,1
2017-0042,1,2017-04-10,9,gral paz,14,-58.45757936,-34.53895793,moto,cargas,conductor,masculino,,fatal,2017,4,2,1,1
2017-0045,1,2017-04-14,6,calle,10,-58.52449285,-34.62454175,moto,objeto fijo,conductor,masculino,21,fatal,2017,4,2,1,1
2017-0047,1,2017-04-23,6,avenida,8,-58.46713742,-34.6719879,moto,auto,conductor,masculino,37,fatal,2017,4,2,1,1
2017-0049,1,2017-04-27,18,avenida,8,-58.43850413,-34.65554754,peaton,pasajeros,peaton,masculino,22,fatal,2017,4,2,1,1
2017-0050,2,2017-04-28,11,autopista,9,-58.4818003,-34.64700534,moto,cargas,conductor,masculino,46,fatal,2017,4,2,1,1
2017-0050,2,2017-04-28,11,autopista,9,-58.4818003,-34.64700534,moto,cargas,pasajero_acompañante,masculino,16,fatal,2017,4,2,1,2
2017-0051,1,2017-05-01,3,autopista,7,-58.47944776,-34.67812101,auto,auto,conductor,masculino,33,fatal,2017,5,2,1,1
2017-0052,1,2017-05-05,3,gral paz,8,-58.49413799,-34.68095739,peaton,cargas,peaton,femenino,47,fatal,2017,5,2,1,1
2017-0053,1,2017-05-05,20,calle,4,-58.37547846,-34.65326075,moto,cargas,conductor,masculino,28,fatal,2017,5,2,1,1
2017-0054,1,2017-05-07,21,avenida,15,-58.48680218,-34.58689719,moto,auto,pasajero_acompañante,femenino,20,fatal,2017,5,2,1,1
2017-0055,1,2017-05-09,8,avenida,12,-58.49563989,-34.57962262,auto,auto,conductor,masculino,32,fatal,2017,5,2,1,1
2017-0058,1,2017-05-09,23,avenida,1,-58.38403232,-34.5991594,peaton,moto,peaton,masculino,80,fatal,2017,5,2,1,1
2017-0059,1,2017-05-11,9,calle,1,-58.38223382,-34.62693865,peaton,pasajeros,peaton,femenino,39,fatal,2017,5,2,1,1
2017-0060,1,2017-05-13,7,avenida,8,-58.45966521,-34.67323292,moto,objeto fijo,pasajero_acompañante,masculino,30,fatal,2017,5,2,1,1
2017-0061,1,2017-05-15,13,avenida,2,-58.39303911,-34.59871111,peaton,moto,peaton,masculino,47,fatal,2017,5,2,1,1
2017-0062,1,2017-05-15,16,avenida,10,-58.51262106,-34.63395999,moto,cargas,conductor,masculino,35,fatal,2017,5,2,1,1
